Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,abbreviation,allelic_requirement,consider,database_cross_reference,definition,discarded/obsoleted synonym,has_alternative_id,has_broad_synonym,has_exact_synonym,has_narrow_synonym,has_obo_format_version,has_obo_namespace,has_related_synonym,has_synonym_type,http://data.bioontology.org/metadata/treeView,http://purl.obolibrary.org/obo/hp.obo#hposlim_core,http://purl.obolibrary.org/obo/hp.obo#secondary_consequence,http://purl.obolibrary.org/obo/IAO_0000231,http://purl.obolibrary.org/obo/IAO_0000700,http://purl.obolibrary.org/obo/RO_0002581,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/terms/contributor,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/date,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#id,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,in_subset,inheres in,inheres in part of,layperson term,logical-definition-view-relation,part of,plural form,shorthand,subset_property,synonym_type_property,term replaced by,UK spelling
http://purl.obolibrary.org/obo/HP_0033611,Part-solid pulmonary nodule,,Part-solid pulmonary nodules are nodules that present with both ground-glass and solid components in which the underlying lung architecture cannot be visualized.,false,,,http://purl.obolibrary.org/obo/HP_0033610,,,,,Part-solid pulmonary nodules are nodules that present with both ground-glass and solid components in which the underlying lung architecture cannot be visualized.,,,,,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0033610,,,,,,,2021-01-30T22:22:54Z,,,,,,https://orcid.org/0000-0002-0736-9199,,,,,HP:0033611,,Part-solid pulmonary nodule,,HP:0033611,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003965,Pseudarthrosis of the forearm bones,,,false,,,http://purl.obolibrary.org/obo/HP_0040072,,,,UMLS:C4025474,,,,,,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0040072,,,,,,,,,,,,,,,,,,HP:0003965,,Pseudarthrosis of the forearm bones,,HP:0003965,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0041050,Renal tubular cyst,Renal tubule cyst,Tubular lumnal dilatation/prominence lined by simple layer of cuboidal-to-flat tublar epihelial cells.,false,,,http://purl.obolibrary.org/obo/HP_0000107|http://purl.obolibrary.org/obo/HP_0000091,,,,,Tubular lumnal dilatation/prominence lined by simple layer of cuboidal-to-flat tublar epihelial cells.,,,,Renal tubule cyst,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0000107|http://purl.obolibrary.org/obo/HP_0000091,,,,,,,,,,,,,https://orcid.org/0000-0001-5208-3432,,,,,HP:0041050,,Renal tubular cyst,,HP:0041050,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0006210,Postaxial oligodactyly,,,false,,,http://purl.obolibrary.org/obo/HP_0001180,,,,UMLS:C1867927,,,,,,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0001180,,,,,,,,,,,,,,,,,,HP:0006210,,Postaxial oligodactyly,,HP:0006210,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002153,Hyperkalemia,Elevated serum potassium levels,An abnormally increased potassium concentration in the blood.,false,,,http://purl.obolibrary.org/obo/HP_0011042,,,,MSH:D006947|UMLS:C0020461|SNOMEDCT_US:14140009|SNOMEDCT_US:166689004|SNOMEDCT_US:238142003,An abnormally increased potassium concentration in the blood.,,,,Elevated serum potassium levels,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0011042,,,,,,,,,,,,,,,,,,HP:0002153,,Hyperkalemia,,HP:0002153,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010387,Osteolytic defects of the phalanges of the 5th toe,,,false,,,http://purl.obolibrary.org/obo/HP_0010342|http://purl.obolibrary.org/obo/HP_0010177,,,,UMLS:C4023865,,,,,,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0010342|http://purl.obolibrary.org/obo/HP_0010177,,,,,,,,,,,,,https://orcid.org/0009-0006-4530-3154,,,2009-07-16T11:52:18Z,,HP:0010387,,Osteolytic defects of the phalanges of the 5th toe,,HP:0010387,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_3000033,Abnormal nasopharyngeal adenoid morphology,Abnormality of nasopharyngeal tonsil|Abnormality of adenoids|Abnormality of nasopharyngeal adenoids|Abnormality of pharyngeal tonsil,"Any abnormality of nasopharyngeal adenoids.|The adenoid, a mass of lymphatic tissue situated posterior to the nasal cavity, in the roof of the nasopharynx, where the nose blends into the throat.",false,,,http://purl.obolibrary.org/obo/HP_0100765|http://purl.obolibrary.org/obo/HP_0001739,,,,UMLS:C4073241,Any abnormality of nasopharyngeal adenoids.,,,,Abnormality of nasopharyngeal tonsil|Abnormality of adenoids|Abnormality of nasopharyngeal adenoids|Abnormality of pharyngeal tonsil,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0100765|http://purl.obolibrary.org/obo/HP_0001739,,,,,,,,,,,,,https://orcid.org/0000-0001-5208-3432,,,2015-08-07T00:27:21Z,,HP:3000033,"The adenoid, a mass of lymphatic tissue situated posterior to the nasal cavity, in the roof of the nasopharynx, where the nose blends into the throat.",Abnormal nasopharyngeal adenoid morphology,,HP:3000033,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000836,Hyperthyroidism,Overactive thyroid,"An abnormality of thyroid physiology characterized by excessive secretion of the thyroid hormones thyroxine (i.e., T4) and/or 3,3',5-triiodo-L-thyronine zwitterion (i.e., triiodothyronine or T3).",false,,,http://purl.obolibrary.org/obo/HP_0002926,,,,SNOMEDCT_US:34486009|MSH:D006980|UMLS:C0020550,"An abnormality of thyroid physiology characterized by excessive secretion of the thyroid hormones thyroxine (i.e., T4) and/or 3,3',5-triiodo-L-thyronine zwitterion (i.e., triiodothyronine or T3).",,HP:0008241,,Overactive thyroid,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0002926,,,,,,,,,,,,,,,,,,HP:0000836,,Hyperthyroidism,,HP:0000836,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004716,HP_0004716,,,true,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,,,,,,,,,,,,,,,,,,true,HP:0004716,,,,,,,,,,,http://purl.obolibrary.org/obo/HP_0000113,
http://purl.obolibrary.org/obo/HP_0007782,obsolete Peripheral retinal cone degeneration,,,true,,,,,,,,,,,,,,,human_phenotype,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,,,,,,,,,,,,,,,HP:0007782,,obsolete Peripheral retinal cone degeneration,true,HP:0007782,,,,,,,,,,,HP:0007769|http://purl.obolibrary.org/obo/HP_0007769,
http://purl.obolibrary.org/obo/HP_0009918,Ectopia pupillae,Displaced pupil|Corectopia,A malposition of the pupil owing to a developmental defect of the iris.,false,,,http://purl.obolibrary.org/obo/HP_0000615,,,,SNOMEDCT_US:392461003|MSH:C536185|SNOMEDCT_US:193523008|UMLS:C1271219,A malposition of the pupil owing to a developmental defect of the iris.,,,,Displaced pupil|Corectopia,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0000615,,,,,,,,,,,,,https://orcid.org/0000-0002-0736-9199,,,2009-05-02T06:01:01Z,,HP:0009918,,Ectopia pupillae,,HP:0009918,http://purl.obolibrary.org/obo/hp.obo#hposlim_core,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0030305,Decreased number of vertebrae,,,false,,,http://purl.obolibrary.org/obo/HP_0030304,,,,UMLS:C4022522,,,,,,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0030304,,,,,,,,,,,,,,,,,,HP:0030305,,Decreased number of vertebrae,,HP:0030305,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0025646,Bilateral polymicrogyria,,Polymicrogyria that affects all or some of both cerebral hemispheres.|Bilateral polymicrogyria is not always generalized or perisylvian.,false,,,http://purl.obolibrary.org/obo/HP_0002126,,,,,Polymicrogyria that affects all or some of both cerebral hemispheres.,,,,,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0002126,,,,,,,,,,,,,https://orcid.org/0000-0002-0736-9199,,,,,HP:0025646,Bilateral polymicrogyria is not always generalized or perisylvian.,Bilateral polymicrogyria,,HP:0025646,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010182,Abnormality of the distal phalanges of the toes,Abnormality of the outermost bone of the toes,,false,,,http://purl.obolibrary.org/obo/HP_0010161,,,,UMLS:C4023982,,,,,Abnormality of the outermost bone of the toes,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0010161,,,,,,,,,,,,,https://orcid.org/0009-0006-4530-3154,,,2009-05-29T01:51:38Z,,HP:0010182,,Abnormality of the distal phalanges of the toes,,HP:0010182,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011994,Abnormal atrial septum morphology,Abnormal interatrial septum morphology|Abnormality of the atrial septum,An abnormality of the interatrial septum.,false,,,http://purl.obolibrary.org/obo/HP_0001671,,,,SNOMEDCT_US:253363004|Fyler:2002|UMLS:C0344722,An abnormality of the interatrial septum.,,,,Abnormal interatrial septum morphology|Abnormality of the atrial septum,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0001671,,,,,,,,,,,,,https://orcid.org/0000-0002-0736-9199,,,2012-07-19T11:34:27Z,,HP:0011994,,Abnormal atrial septum morphology,,HP:0011994,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0005656,Positional foot deformity,,A foot deformity resulting due to an abnormality affecting the muscle and soft tissue. In contrast if the bones of the foot are affected the term structural foot deformity applies.,false,,,http://purl.obolibrary.org/obo/HP_0001760,,,,UMLS:C4025161,A foot deformity resulting due to an abnormality affecting the muscle and soft tissue. In contrast if the bones of the foot are affected the term structural foot deformity applies.,,,,,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0001760,,,,,,,,,,,,,,,,,,HP:0005656,,Positional foot deformity,,HP:0005656,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0008640,Congenital macroorchidism,,,false,,,http://purl.obolibrary.org/obo/HP_0000053,,,,UMLS:C4024650,,,,,,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0000053,,,,,,,,,,,,,,,,,,HP:0008640,,Congenital macroorchidism,,HP:0008640,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001599,HP_0001599,,,true,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,,,,,,,,,,,,,,,,,,true,HP:0001599,,,,,,,,,,,http://purl.obolibrary.org/obo/HP_0007495,
http://purl.obolibrary.org/obo/HP_0030100,Abnormal muscle fiber alpha sarcoglycan,Abnormal muscle fibre alpha sarcoglycan,"Deviation from normal in the amount of alpha sarcoglycan in muscle. The alpha, beta, gamma, and delta sarcoglycans are components of the dystrophin-complex. They are all N-glycosylated transmembrane proteins with a short intra-cellular domain, a single transmembrane region and a large extra-cellular domain containing a cluster of conserved cysteines.",false,,,http://purl.obolibrary.org/obo/HP_0030089,,,,UMLS:C4022645,"Deviation from normal in the amount of alpha sarcoglycan in muscle. The alpha, beta, gamma, and delta sarcoglycans are components of the dystrophin-complex. They are all N-glycosylated transmembrane proteins with a short intra-cellular domain, a single transmembrane region and a large extra-cellular domain containing a cluster of conserved cysteines.",,,,Abnormal muscle fibre alpha sarcoglycan,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0030089,,,,,,,,,,,,,,,,,,HP:0030100,,Abnormal muscle fiber alpha sarcoglycan,,HP:0030100,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0006479,Abnormal dental pulp morphology,Abnormality of tooth pulp|Abnormality of the dental pulp|Endodontic abnormality,An abnormality of the dental pulp.,false,,,http://purl.obolibrary.org/obo/HP_0011061,,,,UMLS:C4025042,An abnormality of the dental pulp.,,,,Abnormality of tooth pulp|Abnormality of the dental pulp,,,human_phenotype,Endodontic abnormality,,http://purl.obolibrary.org/obo/HP_0011061,,,,,,,,,,,,,https://orcid.org/0000-0002-0736-9199,,,2008-03-28T04:46:00Z,,HP:0006479,,Abnormal dental pulp morphology,,HP:0006479,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031068,obsolete Increased femoral torsion,,,true,,,,,,,,,,,,,,,human_phenotype,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,,,,2017-05-28T22:50:19Z,,,,,,https://orcid.org/0000-0002-0736-9199,,,,,HP:0031068,,obsolete Increased femoral torsion,true,HP:0031068,,,,,,,,,,,HP:0012427|http://purl.obolibrary.org/obo/HP_0012427,
http://purl.obolibrary.org/obo/HP_0025173,Nodular septal thickening on pulmonary HRCT,,Thickening of the interlobular septa of the lungs as seen on a high-resolution computed tomography scan with a nodular or beaded appearance of the interlobular septa.,false,,,http://purl.obolibrary.org/obo/HP_0030879,,,,,Thickening of the interlobular septa of the lungs as seen on a high-resolution computed tomography scan with a nodular or beaded appearance of the interlobular septa.,,,,,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0030879,,,,,,,2016-12-04T19:30:08Z,,,,,,https://orcid.org/0000-0002-0736-9199,,,,,HP:0025173,,Nodular septal thickening on pulmonary HRCT,,HP:0025173,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0006246,HP_0006246,,,true,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,,,,,,,,,,,,,,,,,,true,HP:0006246,,,,,,,,,,,http://purl.obolibrary.org/obo/HP_0006107,
http://purl.obolibrary.org/obo/HP_0004104,HP_0004104,,,true,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,,,,,,,,,,,,,,,,,,true,HP:0004104,,,,,,,,,,,http://purl.obolibrary.org/obo/HP_0009536,
http://purl.obolibrary.org/obo/HP_0005916,Abnormal metacarpal morphology,Abnormal shape of long bones of hand|Abnormal shape of metacarpal bones,Any abnormal shape or structure of the metacarpal bones.,false,,,http://purl.obolibrary.org/obo/HP_0040070|http://purl.obolibrary.org/obo/HP_0005922,,,,UMLS:C4021615,Any abnormal shape or structure of the metacarpal bones.,,HP:0001163|HP:0010556,,Abnormal shape of long bones of hand|Abnormal shape of metacarpal bones,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0040070|http://purl.obolibrary.org/obo/HP_0005922,,,,,,,,,,,,,https://orcid.org/0000-0002-0736-9199,,,2008-03-27T02:17:00Z,,HP:0005916,,Abnormal metacarpal morphology,,HP:0005916,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010442,Polydactyly,More than five fingers or toes on hands or feet,A congenital anomaly characterized by the presence of supernumerary fingers or toes.,false,,,http://purl.obolibrary.org/obo/HP_0011297,,,,MSH:D017689|Fyler:4103|UMLS:C0152427|SNOMEDCT_US:367506006,A congenital anomaly characterized by the presence of supernumerary fingers or toes.,,HP:0006046|HP:0009605|HP:0006034|HP:0006123,,More than five fingers or toes on hands or feet,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0011297,,,,,,,,,,,,,https://orcid.org/0009-0006-4530-3154,,,2009-07-29T01:39:27Z,,HP:0010442,,Polydactyly,,HP:0010442,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031505,Abnormal circulating T4 concentration,Abnormal circulating T4 level|Abnormal circulating thyroxine level,A deviation from the normal concentration of thyroxine in the blood. Thyroxine (also known as T4) is the main hormone secreted by the thyroid gland into the blood. It can be converted into the active form triiodothyronine (also known as T3).,false,,,http://purl.obolibrary.org/obo/HP_0031508,,,,,A deviation from the normal concentration of thyroxine in the blood. Thyroxine (also known as T4) is the main hormone secreted by the thyroid gland into the blood. It can be converted into the active form triiodothyronine (also known as T3).,,,,Abnormal circulating T4 level|Abnormal circulating thyroxine level,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0031508,,,,,,,2017-09-21T01:52:52Z,,,,,,https://orcid.org/0000-0002-0736-9199,,,,,HP:0031505,,Abnormal circulating T4 concentration,,HP:0031505,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003292,Decreased serum leptin,Reduced circulating leptin level|Decreased serum leptin,A decreased concentration of leptin in the blood.|Leptin is an adipocyte-secreted hormone with a key role in energy homeostasis.,false,,,http://purl.obolibrary.org/obo/HP_0004361,,,,UMLS:C1837802,A decreased concentration of leptin in the blood.,,,,Reduced circulating leptin level|Decreased serum leptin,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0004361,,,,,,,,,,,,,,,,,,HP:0003292,Leptin is an adipocyte-secreted hormone with a key role in energy homeostasis.,Decreased serum leptin,,HP:0003292,,,,,,,,,,,,
