,iri,description,synonyms,annotation,label,has_children,is_root
10,http://purl.obolibrary.org/obo/BCO_0000051,"['A taxonomic inventory process that is restricted to plots, transects, or points, in which a person or group of people is comprehensively covering the entire area, usually with a well-described survey time or pace. The search is restricted to a defined and human-scale geospatial area (usually traversable within a time course of less than a day) within which there is an expectation of a comprehensive accounting of the taxonomic items of interest.']",[],"{'Creator': ['Taxonomic Inventory Metadata Workshop'], 'example of usage': ['Pollard transect-- ""walk a 1km transect at a slow&steady pace, and report on all TOI within 5m in front, and 2.5m on either side of you.""'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000122'], 'taxonomic inventory metadata preferred name': ['restricted search']}",restricted search taxonomic inventory process,False,False
11,http://purl.obolibrary.org/obo/BCO_0000052,"[""A taxonomic inventory process in which the search is restricted within a larger defined geographic area, but where effort isn't even or complete across the region, and thus not a comprehensive accounting of taxa of interest. Temporal duration is typically longer than restricted searches, lasting hours to several days.""]",[],"{'Creator': ['Taxonomic Inventory Metadata Workshop'], 'example of usage': ['Individual Christmas Bird Count by some team.  Organized field trip to a State Park.'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000122'], 'taxonomic inventory metadata preferred name': ['open search']}",open search taxonomic inventory process,False,False
12,http://purl.obolibrary.org/obo/BCO_0000053,"['This is more typically used to report multiple sightings, where the motivation is to record presence and abundance, rather than for individual anecdotal occurrences that are noteworthy.']",[],"{'Creator': ['Taxonomic Inventory Metadata Workshop'], 'example of usage': ['Many E-Bird lists are of this nature; useful supplementary information is that observers should state whether they documented every taxon of interest they saw.'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000122'], 'taxonomic inventory metadata preferred name': ['opportunistic search']}",opportunistic search taxonomic inventory process,False,False
13,http://purl.obolibrary.org/obo/BCO_0000054,"['A taxonomic inventory process that is typically restricted in geospatial extent that involves either the physical extraction of some evidence of the presence of the taxa of interest, such as a whole organisms, scat, fur, other material samples or information artifacts such as photographs or sound recordings', 'Can be highly targeted and or baited (pheromone trap), or general (pitfall). Trap events can either be ""triggered"" but of long-term deployment, or rigorously temporally specified (left out overnight). ']",[],"{'Creator': ['Taxonomic Inventory Metadata Workshop'], 'example of usage': ['an inventory of insects in a area using pheremone traps', 'an inventory of the large mammals of a park based on camera traps', 'inventories based on trawl samples'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000122'], 'taxonomic inventory metadata preferred name': ['trap or sample inventory']}",trap or sample taxonomic inventory process,False,False
14,http://purl.obolibrary.org/obo/BCO_0000055,"['A taxonomic inventory process in which taxon occurrences are recorded as co-variates of another study, or by happenstance, and later compiled as a taxonomic inventory.']",[],"{'Creator': ['Taxonomic Inventory Metadata Workshop'], 'example of usage': ['data from ecological studies in which presence of some taxa is recorded to clarify population or community parameters'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000122'], 'taxonomic inventory metadata preferred name': ['incidental or adventitious inventory']}",adventitious taxonomic inventory process,False,False
15,http://purl.obolibrary.org/obo/BCO_0000056,"['A taxonomic inventory process in which a list of taxa of interest is assembled from various combinations of existing taxonomic inventories, rather than generated de novo from observations or samples.', 'A compiliation taxonomic inventory process is typically required to document the occurences of taxa of interest over large geospatial areas, or to derive the most comprehensive accounting of presence and absence of taxa of interest in a larger region.']",[],"{'Creator': ['Taxonomic Inventory Metadata Workshop'], 'example of usage': ['Atlases and Checklists'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000124'], 'taxonomic inventory metadata preferred name': ['compilation inventory']}",compilation taxonomic inventory process,False,False
16,http://purl.obolibrary.org/obo/BCO_0000059,"['A museum may make its collections available for public viewing through exhibits that may be permanent or temporary. The class museum has meaning that is much broader than biological collecitons. It may be better to import this term from another, more general ontology and create a specific subclass for natural history museum.']",[],"{'definition source': ['ISBN:9780759105096'], 'example of usage': ['The Louvre Museum', 'The Smithsonian Institution'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000122']}",museum,False,False
17,http://purl.obolibrary.org/obo/BCO_0000061,['A specimen that is derived from a fossil.'],[],"{'example of usage': ['a fossil housed in a natural history museum'], 'has obsolescence reason': ['http://purl.obolibrary.org/obo/IAO_0000103']}",obsolete fossil specimen,False,False
18,http://purl.obolibrary.org/obo/BCO_0000062,['A specimen that is alive.'],[],"{'example of usage': ['a bacterial culture in a culture collection', 'a tree in an arboretum', 'an animal in a zoo', 'germplasm'], 'has obsolescence reason': ['http://purl.obolibrary.org/obo/IAO_0000103']}",obsolete living specimen,False,False
19,http://purl.obolibrary.org/obo/BCO_0000063,['A specimen that has been preserved.'],[],{'has obsolescence reason': ['http://purl.obolibrary.org/obo/IAO_0000103']},obsolete preserved specimen,False,False
20,http://purl.obolibrary.org/obo/BCO_0000064,[],[],{'has obsolescence reason': ['http://purl.obolibrary.org/obo/IAO_0000103']},obsolete darwin core class,False,False
21,http://purl.obolibrary.org/obo/BCO_0000065,"['An observing process in which the observing entity consists of one or more humans.', 'May be able to use the has agent = has active participant relationship for defining this. May want to work with OBI to define this term in a more general sense for investigations.']",[],"{'example of usage': ['a biologist recording an observation of an animal in a field notebook', 'an entomologist recording the presense of butterflies while walking a transect'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000123']}",human observation process,False,False
22,http://purl.obolibrary.org/obo/BCO_0000066,"['An observing process in which the observing entity consists of one or more machines.', 'May want to work with OBI to define this term in a more general sense for investigations.']",[],"{'example of usage': ['a camera trap recording the presence of a jaguar', 'a sensor periodically recording the surface temperature of a leaf over several hours'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000123']}",machine observation process,False,False
23,http://purl.obolibrary.org/obo/BCO_0000084,['A data item that is the output of a taxonomic identification process and associates some organismal entity with a taxon or taxa.'],[],{'definition source': ['PPO hackathon Sep. 2016.']},identification assertion,False,False
24,http://purl.obolibrary.org/obo/BFO_0000001,[],[],"{'BFO CLIF specification label': ['Entity'], 'BFO OWL specification label': ['entity'], 'editor note': ['BFO 2 Reference: In all areas of empirical inquiry we encounter general terms of two sorts. First are general terms which refer to universals or types:animaltuberculosissurgical procedurediseaseSecond, are general terms used to refer to groups of entities which instantiate a given universal but do not correspond to the extension of any subuniversal of that universal because there is nothing intrinsic to the entities in question by virtue of which they – and only they – are counted as belonging to the given group. Examples are: animal purchased by the Emperortuberculosis diagnosed on a Wednesdaysurgical procedure performed on a patient from Stockholmperson identified as candidate for clinical trial #2056-555person who is signatory of Form 656-PPVpainting by Leonardo da VinciSuch terms, which represent what are called ‘specializations’ in [81', ""Entity doesn't have a closure axiom because the subclasses don't necessarily exhaust all possibilites. For example Werner Ceusters 'portions of reality' include 4 sorts, entities (as BFO construes them), universals, configurations, and relations. It is an open question as to whether entities as construed in BFO will at some point also include these other portions of reality. See, for example, 'How to track absolutely everything' at http://www.referent-tracking.com/_RTU/papers/CeustersICbookRevised.pdf""], 'elucidation': ['An entity is anything that exists or has existed or will exist. (axiom label in BFO2 Reference: [001-001])'], 'example of usage': ['Julius Caesar', 'Verdi’s Requiem', 'the Second World War', 'your body mass index']}",entity,True,True
25,http://purl.obolibrary.org/obo/BFO_0000002,"['An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.']",[],"{'BFO CLIF specification label': ['Continuant'], 'BFO OWL specification label': ['continuant'], 'editor note': ['BFO 2 Reference: Continuant entities are entities which can be sliced to yield parts only along the spatial dimension, yielding for example the parts of your table which we call its legs, its top, its nails. ‘My desk stretches from the window to the door. It has spatial parts, and can be sliced (in space) in two. With respect to time, however, a thing is a continuant.’ [60, p. 240', ""Continuant doesn't have a closure axiom because the subclasses don't necessarily exhaust all possibilites. For example, in an expansion involving bringing in some of Ceuster's other portions of reality, questions are raised as to whether universals are continuants""], 'editor preferred term': ['continuant'], 'elucidation': ['A continuant is an entity that persists, endures, or continues to exist through time while maintaining its identity. (axiom label in BFO2 Reference: [008-002])'], 'has associated axiom(fol)': ['(forall (x y) (if (and (Continuant x) (exists (t) (continuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [009-002] ', '(forall (x y) (if (and (Continuant x) (exists (t) (hasContinuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [126-001] ', '(forall (x) (if (Continuant x) (Entity x))) // axiom label in BFO2 CLIF: [008-002] ', '(forall (x) (if (Material Entity x) (exists (t) (and (TemporalRegion t) (existsAt x t))))) // axiom label in BFO2 CLIF: [011-002] '], 'has associated axiom(nl)': ['if b is a continuant and if, for some t, c has_continuant_part b at t, then c is a continuant. (axiom label in BFO2 Reference: [126-001])', 'if b is a continuant and if, for some t, cis continuant_part of b at t, then c is a continuant. (axiom label in BFO2 Reference: [009-002])', 'if b is a material entity, then there is some temporal interval (referred to below as a one-dimensional temporal region) during which b exists. (axiom label in BFO2 Reference: [011-002])'], 'imported from': ['http://purl.obolibrary.org/obo/pato.owl']}",continuant,True,False
26,http://purl.obolibrary.org/obo/BFO_0000003,"['An entity that has temporal parts and that happens, unfolds or develops through time.']",[],"{'BFO CLIF specification label': ['Occurrent'], 'BFO OWL specification label': ['occurrent'], 'editor note': ['BFO 2 Reference: every occurrent that is not a temporal or spatiotemporal region is s-dependent on some independent continuant that is not a spatial region', 'BFO 2 Reference: s-dependence obtains between every process and its participants in the sense that, as a matter of necessity, this process could not have existed unless these or those participants existed also. A process may have a succession of participants at different phases of its unfolding. Thus there may be different players on the field at different times during the course of a football game; but the process which is the entire game s-depends_on all of these players nonetheless. Some temporal parts of this process will s-depend_on on only some of the players.', ""Occurrent doesn't have a closure axiom because the subclasses don't necessarily exhaust all possibilites. An example would be the sum of a process and the process boundary of another process.""], 'elucidation': ['An occurrent is an entity that unfolds itself in time or it is the instantaneous boundary of such an entity (for example a beginning or an ending) or it is a temporal or spatiotemporal region which such an entity occupies_temporal_region or occupies_spatiotemporal_region. (axiom label in BFO2 Reference: [077-002])'], 'has associated axiom(fol)': ['(forall (x) (if (Occurrent x) (exists (r) (and (SpatioTemporalRegion r) (occupiesSpatioTemporalRegion x r))))) // axiom label in BFO2 CLIF: [108-001] ', '(forall (x) (iff (Occurrent x) (and (Entity x) (exists (y) (temporalPartOf y x))))) // axiom label in BFO2 CLIF: [079-001] '], 'has associated axiom(nl)': ['Every occurrent occupies_spatiotemporal_region some spatiotemporal region. (axiom label in BFO2 Reference: [108-001])', 'b is an occurrent entity iff b is an entity that has temporal parts. (axiom label in BFO2 Reference: [079-001])']}",occurrent,False,False
27,http://purl.obolibrary.org/obo/BFO_0000004,"['A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.', 'b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])']",[],"{'BFO CLIF specification label': ['IndependentContinuant'], 'BFO OWL specification label': ['ic'], 'example of usage': ['a chair', 'a heart', 'a leg', 'a molecule', 'a spatial region', 'an atom', 'an orchestra.', 'an organism', 'the bottom right portion of a human torso', 'the interior of your mouth'], 'has associated axiom(fol)': ['(forall (x t) (if (IndependentContinuant x) (exists (r) (and (SpatialRegion r) (locatedInAt x r t))))) // axiom label in BFO2 CLIF: [134-001] ', '(forall (x t) (if (and (IndependentContinuant x) (existsAt x t)) (exists (y) (and (Entity y) (specificallyDependsOnAt y x t))))) // axiom label in BFO2 CLIF: [018-002] ', '(iff (IndependentContinuant a) (and (Continuant a) (not (exists (b t) (specificallyDependsOnAt a b t))))) // axiom label in BFO2 CLIF: [017-002] '], 'has associated axiom(nl)': ['For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001])', 'For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])']}",independent continuant,True,False
28,http://purl.obolibrary.org/obo/BFO_0000006,[],[],"{'BFO CLIF specification label': ['SpatialRegion'], 'BFO OWL specification label': ['s-region'], 'editor note': ['BFO 2 Reference: Spatial regions do not participate in processes.', ""Spatial region doesn't have a closure axiom because the subclasses don't exhaust all possibilites. An example would be the union of a spatial point and a spatial line that doesn't overlap the point, or two spatial lines that intersect at a single point. In both cases the resultant spatial region is neither 0-dimensional, 1-dimensional, 2-dimensional, or 3-dimensional.""], 'elucidation': ['A spatial region is a continuant entity that is a continuant_part_of spaceR as defined relative to some frame R. (axiom label in BFO2 Reference: [035-001])'], 'has associated axiom(fol)': ['(forall (x y t) (if (and (SpatialRegion x) (continuantPartOfAt y x t)) (SpatialRegion y))) // axiom label in BFO2 CLIF: [036-001] ', '(forall (x) (if (SpatialRegion x) (Continuant x))) // axiom label in BFO2 CLIF: [035-001] '], 'has associated axiom(nl)': ['All continuant parts of spatial regions are spatial regions.\xa0(axiom label in BFO2 Reference: [036-001])']}",spatial region,True,False
29,http://purl.obolibrary.org/obo/BFO_0000015,"['An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.', 'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])']",[],"{'BFO CLIF specification label': ['Process'], 'BFO OWL specification label': ['process'], 'editor note': ['BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)'], 'example of usage': ['a process of cell-division, \\ a beating of the heart', 'a process of meiosis', 'a process of sleeping', 'the course of a disease', 'the flight of a bird', 'the life of an organism', 'your process of aging.'], 'has associated axiom(fol)': ['(iff (Process a) (and (Occurrent a) (exists (b) (properTemporalPartOf b a)) (exists (c t) (and (MaterialEntity c) (specificallyDependsOnAt a c t))))) // axiom label in BFO2 CLIF: [083-003] ']}",process,True,False
30,http://purl.obolibrary.org/obo/BFO_0000016,[],[],{},disposition,True,False
31,http://purl.obolibrary.org/obo/BFO_0000017,"['A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.']",[],"{'BFO CLIF specification label': ['RealizableEntity'], 'BFO OWL specification label': ['realizable'], 'elucidation': ['To say that b is a realizable entity is to say that b is a specifically dependent continuant that inheres in some independent continuant which is not a spatial region and is of a type instances of which are realized in processes of a correlated type. (axiom label in BFO2 Reference: [058-002])'], 'example of usage': ['the disposition of this piece of metal to conduct electricity.', 'the disposition of your blood to coagulate', 'the function of your reproductive organs', 'the role of being a doctor', 'the role of this boundary to delineate where Utah and Colorado meet'], 'has associated axiom(fol)': ['(forall (x t) (if (RealizableEntity x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (bearerOfAt y x t))))) // axiom label in BFO2 CLIF: [060-002] ', '(forall (x) (if (RealizableEntity x) (and (SpecificallyDependentContinuant x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (inheresIn x y)))))) // axiom label in BFO2 CLIF: [058-002] '], 'has associated axiom(nl)': ['All realizable dependent continuants have independent continuants that are not spatial regions as their bearers. (axiom label in BFO2 Reference: [060-002])'], 'term editor': ['https://orcid.org/0000-0001-8815-0078']}",realizable entity,True,False
32,http://purl.obolibrary.org/obo/BFO_0000019,[],[],{},quality,False,False
33,http://purl.obolibrary.org/obo/BFO_0000020,"['A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.', 'b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1  i &lt; j  n, ci  and cj share no common parts, are such that for each 1  i  n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])', 'b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])']",[],"{'BFO CLIF specification label': ['SpecificallyDependentContinuant'], 'BFO OWL specification label': ['sdc'], 'editor note': [""Specifically dependent continuant doesn't have a closure axiom because the subclasses don't necessarily exhaust all possibilites. We're not sure what else will develop here, but for example there are questions such as what are promises, obligation, etc.""], 'editor preferred term': ['specifically dependent continuant'], 'example of usage': ['Reciprocal specifically dependent continuants: the function of this key to open this lock and the mutually dependent disposition of this lock: to be opened by this key', 'of one-sided specifically dependent continuants: the mass of this tomato', 'of relational dependent continuants (multiple bearers): John’s love for Mary, the ownership relation between John and this statue, the relation of authority between John and his subordinates.', 'the disposition of this fish to decay', 'the function of this heart: to pump blood', 'the mutual dependence of proton donors and acceptors in chemical reactions [79', 'the mutual dependence of the role predator and the role prey as played by two organisms in a given interaction', 'the pink color of a medium rare piece of grilled filet mignon at its center', 'the role of being a doctor', 'the shape of this hole.', 'the smell of this portion of mozzarella'], 'has associated axiom(fol)': ['(iff (RelationalSpecificallyDependentContinuant a) (and (SpecificallyDependentContinuant a) (forall (t) (exists (b c) (and (not (SpatialRegion b)) (not (SpatialRegion c)) (not (= b c)) (not (exists (d) (and (continuantPartOfAt d b t) (continuantPartOfAt d c t)))) (specificallyDependsOnAt a b t) (specificallyDependsOnAt a c t)))))) // axiom label in BFO2 CLIF: [131-004] ', '(iff (SpecificallyDependentContinuant a) (and (Continuant a) (forall (t) (if (existsAt a t) (exists (b) (and (IndependentContinuant b) (not (SpatialRegion b)) (specificallyDependsOnAt a b t))))))) // axiom label in BFO2 CLIF: [050-003] '], 'imported from': ['http://purl.obolibrary.org/obo/pato.owl']}",specifically dependent continuant,True,False
34,http://purl.obolibrary.org/obo/BFO_0000023,"['A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts.']",[],"{'BFO CLIF specification label': ['Role'], 'BFO OWL specification label': ['role'], 'editor note': ['BFO 2 Reference: One major family of examples of non-rigid universals involves roles, and ontologies developed for corresponding administrative purposes may consist entirely of representatives of entities of this sort. Thus ‘professor’, defined as follows,b instance_of professor at t =Def. there is some c, c instance_of professor role & c inheres_in b at t.denotes a non-rigid universal and so also do ‘nurse’, ‘student’, ‘colonel’, ‘taxpayer’, and so forth. (These terms are all, in the jargon of philosophy, phase sortals.) By using role terms in definitions, we can create a BFO conformant treatment of such entities drawing on the fact that, while an instance of professor may be simultaneously an instance of trade union member, no instance of the type professor role is also (at any time) an instance of the type trade union member role (any more than any instance of the type color is at any time an instance of the type length).If an ontology of employment positions should be defined in terms of roles following the above pattern, this enables the ontology to do justice to the fact that individuals instantiate the corresponding universals –  professor, sergeant, nurse – only during certain phases in their lives.'], 'elucidation': ['b is a role means: b is a realizable entity & b exists because there is some single bearer that is in some special physical, social, or institutional set of circumstances in which this bearer does not have to be& b is not such that, if it ceases to exist, then the physical make-up of the bearer is thereby changed. (axiom label in BFO2 Reference: [061-001])'], 'example of usage': ['John’s role of husband to Mary is dependent on Mary’s role of wife to John, and both are dependent on the object aggregate comprising John and Mary as member parts joined together through the relational quality of being married.', 'the priest role', 'the role of a boundary to demarcate two neighboring administrative territories', 'the role of a building in serving as a military target', 'the role of a stone in marking a property boundary', 'the role of subject in a clinical trial', 'the student role'], 'has associated axiom(fol)': ['(forall (x) (if (Role x) (RealizableEntity x))) // axiom label in BFO2 CLIF: [061-001] ']}",role,True,False
35,http://purl.obolibrary.org/obo/BFO_0000027,[],[],"{'BFO CLIF specification label': ['ObjectAggregate'], 'BFO OWL specification label': ['object-aggregate'], 'definition source': [""ISBN:978-3-938793-98-5pp124-158#Thomas Bittner and Barry Smith, 'A Theory of Granular Partitions', in K. Munn and B. Smith (eds.), Applied Ontology: An Introduction, Frankfurt/Lancaster: ontos, 2008, 125-158.""], 'editor note': ['BFO 2 Reference: object aggregates may gain and lose parts while remaining numerically identical (one and the same individual) over time. This holds both for aggregates whose membership is determined naturally (the aggregate of cells in your body) and aggregates determined by fiat (a baseball team, a congressional committee).'], 'elucidation': ['b is an object aggregate means: b is a material entity consisting exactly of a plurality of objects as member_parts at all times at which b exists. (axiom label in BFO2 Reference: [025-004])'], 'example of usage': ['a collection of cells in a blood biobank.', 'a swarm of bees is an aggregate of members who are linked together through natural bonds', 'a symphony orchestra', 'an organization is an aggregate whose member parts have roles of specific types (for example in a jazz band, a chess club, a football team)', 'defined by fiat: the aggregate of members of an organization', 'defined through physical attachment: the aggregate of atoms in a lump of granite', 'defined through physical containment: the aggregate of molecules of carbon dioxide in a sealed container', 'defined via attributive delimitations such as: the patients in this hospital', 'the aggregate of bearings in a constant velocity axle joint', 'the aggregate of blood cells in your body', 'the nitrogen atoms in the atmosphere', 'the restaurants in Palo Alto', 'your collection of Meissen ceramic plates.'], 'has associated axiom(fol)': ['(forall (x) (if (ObjectAggregate x) (and (MaterialEntity x) (forall (t) (if (existsAt x t) (exists (y z) (and (Object y) (Object z) (memberPartOfAt y x t) (memberPartOfAt z x t) (not (= y z)))))) (not (exists (w t_1) (and (memberPartOfAt w x t_1) (not (Object w)))))))) // axiom label in BFO2 CLIF: [025-004] ']}",object aggregate,True,False
